Year,Month,Encounter Count
2019,JAN,58317.0
2019,FEB,76545.0
2019,MAR,103731.0
2019,APR,109415.0
2019,MAY,144116.0
2019,JUN,104311.0
2019,JUL,81777.0
2019,AUG,62707.0
2019,SEP,52546.0
2019,OCT,45139.0
2019,NOV,42643.0
2019,DEC,40565.0
2020,JAN,36585.0
2020,FEB,36687.0
2020,MAR,34460.0
2020,APR,17106.0
2020,MAY,23237.0
2020,JUN,33049.0
2020,JUL,40929.0
2020,AUG,50014.0
2020,SEP,57674.0
2020,OCT,71929.0
2020,NOV,72113.0
2020,DEC,73994.0
2021,JAN,78414.0
2021,FEB,101099.0
2021,MAR,173277.0
2021,APR,178795.0
2021,MAY,180597.0
2021,JUN,189034.0
2021,JUL,213593.0
2021,AUG,209840.0
2021,SEP,192001.0
2021,OCT,164837.0
2021,NOV,174845.0
2021,DEC,179253.0
2022,JAN,154874.0
2022,FEB,166010.0
2022,MAR,222574.0
2022,APR,235785.0
2022,MAY,241136.0
2022,JUN,207834.0
2022,JUL,200162.0
2022,AUG,204087.0
2022,SEP,227547.0
2022,OCT,231529.0
2022,NOV,235173.0
2022,DEC,252315.0
2023,JAN,157358.0
2023,FEB,156630.0
2023,MAR,193249.0
2023,APR,211992.0
2023,MAY,206690.0
2023,JUN,144556.0
2023,JUL,183479.0
2023,AUG,232963.0
2023,SEP,269735.0
2023,OCT,240927.0
2023,NOV,242399.0
2023,DEC,301981.0
2024,JAN,176195.0
2024,FEB,189913.0
2024,MAR,189359.0
2024,APR,179737.0
2024,MAY,170716.0
2024,JUN,130415.0
2024,JUL,104100.0
2024,AUG,107473.0
2024,SEP,101790.0
2024,OCT,106335.0
2024,NOV,94190.0