source,target,value
Individual donors,Trump Save America committee,128.9
Make America Great Again Inc.,Save America PAC,42.25
Trump Save America committee,Save America PAC,8.9
Trump Save America committee,Donald J. Trump for President,72.0
Trump Save America committee,Direct mail,10.5
Trump Save America committee,Online ads,10.4
Trump Save America committee,Merchandise,4.9
Trump Save America committee,Merchant fees,4.2
Donald J. Trump for President,Placed media,9.4
Donald J. Trump for President,Payroll,4.6
Donald J. Trump for President,Air travel,4.6
Donald J. Trump for President,Legal consulting,4.0
Trump Make America Great Again Committee,Save America PAC,4.1
Save America PAC,Legal consulting,44.0
Save America PAC,Legal fee reimbursement,1.7
Save America PAC,Payroll,1.2
Save America PAC,MAGA PAC,11.75
MAGA PAC,Legal consulting,1.9
MAGA PAC,Legal fee reimbursement,1.4
MAGA PAC,Document hosting,1.8
Save America PAC ‘22,Make America Great Again Inc.,60
Trump Make America Great Again Committee,Save America PAC ‘22,40
Individual donors,Trump Make America Great Again Committee,29.3